Member,Has active contributions (2025-01-01 to 2025-07-15),Commits created (2025-01-01 to 2025-07-15),Issues opened (2025-01-01 to 2025-07-15),PRs opened (2025-01-01 to 2025-07-15),PR reviews (2025-01-01 to 2025-07-15),Issue spread (2025-01-01 to 2025-07-15),Commit spread (2025-01-01 to 2025-07-15),PR spread (2025-01-01 to 2025-07-15),PR review spread (2025-01-01 to 2025-07-15)
atsuki-shirasawa,TRUE,917,10,69,21,4,6,6,4
10long,TRUE,747,0,0,65,0,7,0,2
naoki-sakamoto-rai,TRUE,730,105,93,0,2,2,2,0
kanto-mizo,TRUE,702,79,250,30,5,6,6,6
10060815RiSei,TRUE,696,1,627,131,1,5,7,2
2200376luhuabin,TRUE,684,0,16,2,0,7,6,1
Sugar918,TRUE,666,0,54,0,0,14,13,0
Ito-Ryu,TRUE,568,0,56,348,0,4,5,8
utamori,TRUE,538,55,302,228,6,11,10,7
vinkev,TRUE,458,6,56,144,1,3,3,3
jinchao-DevOps,TRUE,414,0,73,500,0,10,6,9
x1n-g5o,TRUE,404,0,13,0,0,2,3,0
lengjunbin-trec,TRUE,388,0,72,71,0,4,4,4
10216944lfc,TRUE,339,0,130,0,0,3,3,0
tanvir-retailai,TRUE,331,0,13,137,0,19,4,12
hblab-hann,TRUE,321,0,128,183,0,8,11,12
SakaKanako,TRUE,317,0,289,306,0,5,5,5
HirotsuNana,TRUE,317,0,243,100,0,4,5,5
akari-hirosue,TRUE,316,6,324,388,2,6,6,6
lixingtre,TRUE,314,0,11,0,0,6,2,0
nakata-t,TRUE,306,34,46,24,2,6,3,3
xingfengzhang-trechina,TRUE,300,0,20,0,0,60,18,0
TakuroMikami,TRUE,287,30,104,5,1,3,4,1
ZhangYongguang5467,TRUE,283,5,40,6,2,11,9,3
YutaShiraishi-rai,TRUE,279,0,142,47,0,4,5,4
ShigemotoTsubasa,TRUE,273,3,112,11,1,2,2,2
RyotaZushi,TRUE,263,2,128,6,1,2,2,1
zhangshaocheng930214,TRUE,245,2,53,27,1,2,2,2
frank-jiao-tre,TRUE,243,18,0,66,3,13,0,4
liyuan2019,TRUE,229,0,90,15,0,3,3,1
wangxin-trec,TRUE,202,0,152,27,0,3,4,3
liuning-trec,TRUE,195,6,78,32,1,3,4,3
chixiaolei-rai,TRUE,193,0,50,47,0,17,12,12
lumeijing-trec,TRUE,183,15,44,37,2,5,4,7
liuhe-trec,TRUE,183,0,41,5,0,10,7,3
TatsukiKodama8,TRUE,182,0,19,0,0,2,4,0
2200030liwei,TRUE,175,0,95,0,0,3,3,0
sun-yahao,TRUE,170,0,39,6,0,5,1,2
Ito-Yusuke,TRUE,161,0,68,51,0,1,1,2
kakine-a131,TRUE,141,0,53,4,0,5,5,1
0ji3,TRUE,140,0,33,0,0,2,2,0
hblab-hieudt,TRUE,139,0,76,45,0,4,6,4
yaokaibao-tre,TRUE,138,0,175,1,0,42,53,1
trial-jonathan,TRUE,136,117,135,55,1,1,1,1
shoji-kuroda,TRUE,128,0,102,58,0,4,4,2
Yuyan-Qiu-tre,TRUE,124,0,105,27,0,3,1,4
taguchi-toshiki-rx,TRUE,124,0,122,256,0,7,7,8
dina-setiana,TRUE,118,9,44,37,1,2,1,2
luzejian,TRUE,115,0,129,172,0,6,7,9
mdzhangqiang,TRUE,113,0,55,22,0,3,6,7
RohitChaurasia97,TRUE,113,7,29,8,3,6,6,4
HBLAB-VinhNX,TRUE,112,0,66,73,0,7,8,1
kyoshigai,TRUE,108,0,118,136,0,9,9,6
10223605-SY,TRUE,108,0,143,0,0,1,3,0
satoshihiraishi,TRUE,107,2,42,247,1,6,7,6
TRE10218504,TRUE,107,0,83,0,0,4,1,0
10004406,TRUE,103,0,52,1,0,2,5,1
changpingsu,TRUE,102,0,63,108,0,1,1,1
Plath-sylvia,TRUE,101,0,41,6,0,3,4,3
Inokuchi-Kento,TRUE,100,0,76,0,0,4,5,0
yaoqingjian-trec,TRUE,98,0,30,2,0,3,2,1
hblab-tiendv,TRUE,97,0,75,40,0,1,1,2
tatsuyayamashita1023,TRUE,92,0,55,0,0,5,7,0
ShutaWatanabe,TRUE,92,0,98,33,0,4,4,5
dackd,TRUE,88,0,171,0,0,1,1,0
kobayashi-shota,TRUE,86,17,92,98,1,2,2,2
murayama-ssm,TRUE,85,0,119,63,0,5,5,2
SunJinping-TRE-C,TRUE,83,3,21,6,1,1,1,2
Nagano-Mai,TRUE,82,0,88,2,0,4,4,1
hunaifei-trec,TRUE,75,0,48,3,0,3,3,2
Ishwor-shrestha1205,TRUE,75,96,77,3,3,3,4,2
rxmrsd,TRUE,75,2,25,33,1,5,4,5
IkedaTakato,TRUE,71,0,51,1,0,5,7,1
wangmingqiang32,TRUE,70,0,84,29,0,4,5,4
IDOShun,TRUE,64,0,21,42,0,5,7,5
treyueruijuan,TRUE,62,0,4,0,0,6,2,0
gudemin-trec,TRUE,58,6,27,29,1,3,3,5
luant7,TRUE,58,0,100,0,0,3,3,0
cn-tre-lfp,TRUE,57,3,87,4,1,3,5,2
chichunyu-trec,TRUE,55,0,29,87,0,5,6,5
hide0621,TRUE,54,3,53,58,1,2,2,2
hblab-khoald1,TRUE,54,0,122,35,0,3,8,6
hblab-longnv,TRUE,53,0,88,5,0,4,5,4
Lin123OoO,TRUE,50,0,6,0,0,3,1,0
ZhaoYuRetailAI,TRUE,48,9,12,39,1,4,3,5
WangZhaoTRC,TRUE,47,0,0,0,0,1,0,0
hblab-chuctv,TRUE,47,0,69,294,0,6,11,10
hblab-dungpt1,TRUE,46,0,0,59,0,2,0,4
daichunqing,TRUE,43,0,11,76,0,5,2,7
HiroseKakeru,TRUE,42,0,36,28,0,2,3,3
hblab-cuongtq,TRUE,40,0,102,43,0,3,8,6
kozukaaaa,TRUE,36,0,42,66,0,1,1,2
fujithuro,TRUE,35,0,68,80,0,4,5,2
hblab-kiennv,TRUE,35,0,45,6,0,5,6,3
wangxiaolin-tre,TRUE,34,0,25,0,0,2,3,0
s-dasheng,TRUE,32,0,0,0,0,2,0,0
luanqijia,TRUE,31,0,0,0,0,1,0,0
TRE10165440,TRUE,30,0,4,0,0,2,1,0
10104662FengZongWei,TRUE,30,0,34,2,0,3,4,2
DennoDin,TRUE,26,4,12,2,1,1,1,1
tou-kenichirou,TRUE,26,0,27,9,0,3,3,1
hblab-phudd,TRUE,26,0,3,110,0,6,2,9
azuma-takuya,TRUE,25,0,33,55,0,1,1,2
TRE10212159,TRUE,25,0,45,0,0,3,2,0
shitou-pg,TRUE,25,0,9,13,0,2,2,4
yousaikei,TRUE,21,0,50,0,0,6,6,0
haonds,TRUE,20,0,47,0,0,1,2,0
lv-wenqiang,TRUE,15,0,19,0,0,3,4,0
hexiaopeng-tre,TRUE,14,0,0,19,0,7,0,9
xuxinli10112509,TRUE,14,0,4,1,0,1,1,1
rai-shinohara,TRUE,14,0,3,5,0,1,1,2
akaitigo,TRUE,14,1,16,9,1,3,5,2
shenshilong-trec,TRUE,13,0,14,15,0,4,5,3
zhangyunfeng11,TRUE,12,0,34,0,0,3,5,0
lifeng0603,TRUE,11,0,196,13,0,3,5,3
10268881,TRUE,10,0,34,0,0,2,6,0
jinzengteng-hub,TRUE,10,4,17,0,1,1,4,0
hblab-anhtv1,TRUE,9,0,115,11,0,1,6,4
ruzhe-trec,TRUE,8,0,119,28,0,2,10,6
retail-oukaku,TRUE,8,0,20,12,0,1,1,1
jclimb,TRUE,7,0,296,0,0,1,5,0
muneyoshi-saito,TRUE,7,0,1,0,0,1,1,0
caique-rai,TRUE,7,0,0,24,0,2,0,8
wicros-wang,TRUE,7,0,1,0,0,1,1,0
TRE2200866,TRUE,6,0,3,0,0,3,1,0
shaojiancheng-TREC,TRUE,6,0,52,0,0,2,3,0
hblab-huybd,TRUE,6,0,5,0,0,2,2,0
TRE10219990,TRUE,6,0,34,0,0,2,2,0
tre-hejinyin,TRUE,5,0,1,41,0,1,1,2
ZangPengshi-TREC,TRUE,5,0,1,1,0,1,1,1
wutianyu-RAI,TRUE,5,0,2,0,0,2,2,0
kenqu-rs,TRUE,4,0,0,0,0,1,0,0
zjh10150473,TRUE,4,0,51,0,0,2,3,0
magori-takao,TRUE,3,0,0,8,0,2,0,2
LiuChihao,TRUE,3,0,1,0,0,1,1,0
NaganoKeitaro,TRUE,2,0,0,16,0,1,0,4
xishushu10234237,TRUE,2,0,0,0,0,2,0,0
ToshiyaTamura,TRUE,2,0,0,0,0,1,0,0
10047506shipeng,TRUE,2,0,2,0,0,1,1,0
trechina-zhangzhen,TRUE,1,0,1,29,0,1,1,6
xtnek,TRUE,1,0,0,0,0,1,0,0
seto-kazuki,TRUE,1,0,0,0,0,1,0,0
hblab-longnt1,TRUE,1,0,0,22,0,1,0,3
hblab-datdt2,TRUE,1,0,37,8,0,1,2,2
lpvss,TRUE,1,0,54,0,0,1,3,0
gepeiyu,FALSE,0,0,0,0,0,0,0,0
zhangge001,FALSE,0,0,0,0,0,0,0,0
hblab-dieuhd,FALSE,0,0,0,0,0,0,0,0
ErraticO,FALSE,0,0,0,0,0,0,0,0
ChiakiArimitsu,FALSE,0,0,0,0,0,0,0,0
john-wang-tre,FALSE,0,0,0,0,0,0,0,0
chujiawei2018,FALSE,0,0,0,0,0,0,0,0
Hoshino-RX,FALSE,0,0,0,0,0,0,0,0
zhaiyaoyao-trec,TRUE,0,0,1,52,0,0,1,2
zhangxingtre,TRUE,0,0,4,17,0,0,2,5
weisheng-trec,FALSE,0,0,0,0,0,0,0,0
gerraywang,TRUE,0,0,0,17,0,0,0,2
TREshannonzhu,TRUE,0,0,0,65,0,0,0,12
nkamizono,FALSE,0,0,0,0,0,0,0,0
10159834yangxiaolan,TRUE,0,0,10,1,0,0,1,1
WANGGAOFENG-TRE,FALSE,0,0,0,0,0,0,0,0
liuzheng-tre,FALSE,0,0,0,0,0,0,0,0
ryosuke-mizo,FALSE,0,0,0,0,0,0,0,0
superSong-hello,TRUE,0,0,93,0,0,0,2,0
10154689liuxiaofeng,FALSE,0,0,0,0,0,0,0,0
liuhongtao2020,TRUE,0,0,7,12,0,0,1,1
caoshidong,FALSE,0,0,0,0,0,0,0,0
sonoda-tomohiro,FALSE,0,0,0,0,0,0,0,0
hblab-chiennx,TRUE,0,0,0,0,0,0,0,0
higashi-rx,FALSE,0,0,0,0,0,0,0,0
hi-shin,FALSE,0,0,0,0,0,0,0,0
hblab-khoipv,TRUE,0,0,2,33,0,0,2,2
Masaki-Urushibara,FALSE,0,0,0,0,0,0,0,0
Tanaka-Schoichiro,FALSE,0,0,0,0,0,0,0,0
Motomura-Ryuichi,FALSE,0,0,0,0,0,0,0,0
taroura-takeru,TRUE,0,0,11,0,0,0,4,0
j-zhexue,FALSE,0,0,0,0,0,0,0,0
tomo2648,FALSE,0,0,0,0,0,0,0,0
MasakiFujishiro,TRUE,0,0,0,5,0,0,0,1
a2645386952,FALSE,0,0,0,0,0,0,0,0
Kusuguchi,FALSE,0,0,0,0,0,0,0,0
hamakota,FALSE,0,0,0,0,0,0,0,0
TRE-liuchangliang,TRUE,0,0,6,1,0,0,1,1
hblab-thinhnv,TRUE,0,0,0,0,0,0,0,0
10015361liuxiaotao,FALSE,0,0,0,0,0,0,0,0
Yoshitake5694,FALSE,0,0,0,0,0,0,0,0
lipx2022,FALSE,0,0,0,0,0,0,0,0
nishitakuya1018,FALSE,0,0,0,0,0,0,0,0
yufeng-trec,FALSE,0,0,0,0,0,0,0,0
hiroyuki-takayama-RAIX,FALSE,0,0,0,0,0,0,0,0
ding-mingguang,FALSE,0,0,0,0,0,0,0,0
iwai2001,TRUE,0,0,0,2,0,0,0,1
Inomata-Yoshinari,FALSE,0,0,0,0,0,0,0,0
tianye-trec,TRUE,0,0,26,20,0,0,1,1
TRECHINA-HanGuowei,TRUE,0,0,4,1,0,0,1,1
ooootaaaa,TRUE,0,0,0,0,0,0,0,0
fukuDD,FALSE,0,0,0,0,0,0,0,0
eamonding,FALSE,0,0,0,0,0,0,0,0
10218809,FALSE,0,0,0,0,0,0,0,0
10140736,FALSE,0,0,0,0,0,0,0,0
hir-yoshida,FALSE,0,0,0,0,0,0,0,0
Kei-ichi-M,FALSE,0,0,0,0,0,0,0,0
hsakakida,FALSE,0,0,0,0,0,0,0,0
hatano23232,FALSE,0,0,0,0,0,0,0,0
gongxiangcong,FALSE,0,0,0,0,0,0,0,0
urakawa-jinsei,FALSE,0,0,0,0,0,0,0,0
nemotosoya,FALSE,0,0,0,0,0,0,0,0
kawashima-hidetaka52,FALSE,0,0,0,0,0,0,0,0
Haruto-Arimoto,FALSE,0,0,0,0,0,0,0,0
hblab-maeda,TRUE,0,0,0,0,0,0,0,0
10222148,TRUE,0,0,11,2,0,0,1,1
hblab-anlt,TRUE,0,0,1,159,0,0,1,4
t1-sekiguchi,FALSE,0,0,0,0,0,0,0,0
momoro96,FALSE,0,0,0,0,0,0,0,0
manabu-masuoka,TRUE,0,0,0,0,0,0,0,0
hblab-khanhhd,TRUE,0,0,20,0,0,0,1,0
KongLing88,TRUE,0,0,2,1,0,0,1,1
10263414zhangluxia,TRUE,0,0,3,0,0,0,1,0
2200374,FALSE,0,0,0,0,0,0,0,0
2200449,FALSE,0,0,0,0,0,0,0,0
minami-rai,FALSE,0,0,0,0,0,0,0,0
TRE2200362,FALSE,0,0,0,0,0,0,0,0
on-rai,FALSE,0,0,0,0,0,0,0,0
WJing66,FALSE,0,0,0,0,0,0,0,0
minghongSun,TRUE,0,0,0,0,0,0,0,0
hayato-kawabata-rai,FALSE,0,0,0,0,0,0,0,0
hblab-namph,TRUE,0,0,9,0,0,0,2,0
daigo-retail,FALSE,0,0,0,0,0,0,0,0
tre-liuzhaoqing,FALSE,0,0,0,0,0,0,0,0
tony521-10243277,FALSE,0,0,0,0,0,0,0,0
Hblab-doanhk,TRUE,0,0,9,0,0,0,1,0
quandm-hblab,TRUE,0,0,0,0,0,0,0,0
hblab-hoangdm,TRUE,0,0,21,2,0,0,4,2
hblab-tuanla1,TRUE,0,0,0,0,0,0,0,0
tr-10k,TRUE,0,0,0,0,0,0,0,0
hyakumann,TRUE,0,0,0,0,0,0,0,0
LiuKai-TRE,TRUE,0,0,3,0,0,0,1,0
tavanquangTR,TRUE,0,0,0,0,0,0,0,0
IkedaSou-trial,TRUE,0,0,0,0,0,0,0,0
abeyumeya,TRUE,0,0,0,0,0,0,0,0
2110lehang,TRUE,0,0,0,0,0,0,0,0
kawasakinaoto,TRUE,0,0,0,0,0,0,0,0
Tomita-Kohei,TRUE,0,0,0,0,0,0,0,0
hblab-longnd1,TRUE,0,0,0,4,0,0,0,3
K8-YAO,TRUE,0,0,0,0,0,0,0,0
10244519yuhaiteng,TRUE,0,0,1,0,0,0,1,0
hblab-khoinv,TRUE,0,0,0,0,0,0,0,0
10102859zhangjian,TRUE,0,0,0,1,0,0,0,1
